Message: Hello                           Data and Time:  2019 23 Aug 09:19:10. 
Message: Эвент номер:  5   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:57. 
Message: Эвент номер:  6   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:57. 
Message: Эвент номер:  7   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:57. 
Message: Эвент номер:  7   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:57. 
Message: Эвент номер:  8   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:57. 
Message: Эвент номер:  8   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:57. 
Message: Эвент номер:  9   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:57. 
Message: Эвент номер:  10   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  10   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  11   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  11   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  12   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  13   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  13   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  14   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  14   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  15   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  16   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  16   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  17   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  17   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  18   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  19   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  19   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  20   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  20   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  21   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  22   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  22   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  23   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  23   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  24   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  25   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  25   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:58. 
Message: Эвент номер:  26   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:59. 
Message: Эвент номер:  26   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:59. 
Message: Эвент номер:  27   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:59. 
Message: Эвент номер:  28   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:59. 
Message: Эвент номер:  28   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:59. 
Message: Эвент номер:  29   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:59. 
Message: Эвент номер:  29   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:59. 
Message: Эвент номер:  30   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:59. 
Message: Эвент номер:  31   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:59. 
Message: Эвент номер:  31   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:59. 
Message: Эвент номер:  32   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:59. 
Message: Эвент номер:  32   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:59. 
Message: Эвент номер:  33   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:59. 
Message: Эвент номер:  34   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  34   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  35   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  35   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  36   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  37   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  37   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  38   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  38   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  39   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  40   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  40   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  41   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  41   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  42   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  43   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  43   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  44   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  44   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  45   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  46   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  46   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  47   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  47   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  48   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  49   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  49   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  50   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  50   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:09:00. 
Message: Эвент номер:  1   Тип сообщения: WARNING            Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  1   Тип сообщения: ERROR              Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  2   Тип сообщения: WARNING            Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  2   Тип сообщения: ERROR              Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  3   Тип сообщения: WARNING            Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  4   Тип сообщения: WARNING            Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  4   Тип сообщения: ERROR              Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  5   Тип сообщения: WARNING            Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  5   Тип сообщения: ERROR              Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  6   Тип сообщения: WARNING            Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  7   Тип сообщения: WARNING            Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  7   Тип сообщения: ERROR              Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  8   Тип сообщения: WARNING            Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  8   Тип сообщения: ERROR              Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  9   Тип сообщения: WARNING            Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  10   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  10   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  11   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  11   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  12   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  13   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  13   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  14   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  14   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  15   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  16   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  16   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  17   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  17   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  18   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  19   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  19   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  20   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  20   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  21   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  22   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  22   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  23   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  23   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  24   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  25   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  25   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  26   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  26   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  27   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  28   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  28   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  29   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  29   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  30   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:13. 
Message: Эвент номер:  31   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  31   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  32   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  32   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  33   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  34   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  34   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  35   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  35   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  36   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  37   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  37   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  38   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  38   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  39   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  40   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  40   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  41   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  41   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  42   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  43   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  43   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  44   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  44   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  45   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  46   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  46   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  47   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  47   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  48   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  49   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  49   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  50   Тип сообщения: WARNING           Data and Time:  2019 23 Aug 11:10:14. 
Message: Эвент номер:  50   Тип сообщения: ERROR             Data and Time:  2019 23 Aug 11:10:14. 
